"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"BBC3"	"BBC3"	2.41842344423289	3.99222362251857e-15	15626.6666666667	83990.6666666667	37791.8970218793
"MEIS2"	"MEIS2"	-2.41505060007749	4.33080736060788e-15	76350.25	14460.8333333333	184389.717078566
"CPOX"	"CPOX"	2.41314213384915	4.53715160609429e-15	6209	31578.3333333333	14983.1995090694
"COPS7A"	"COPS7A"	2.39265290662209	7.85774998538735e-15	3483.25	16980.9166666667	8334.20823699138
"MED10"	"MED10"	2.38798391497092	8.88893479447887e-15	2292.75	12005.3333333333	5475.05012104958
"PGBD5"	"PGBD5"	-2.38428518143948	9.69996075591688e-15	13415.1666666667	2646.33333333333	31985.5830898743
"RNF5"	"RNF5"	2.3823924276417	1.01206896594162e-14	2432.83333333333	13369	5795.96371104766
"HDAC2"	"HDAC2"	2.37913252835186	1.0833827509384e-14	4072.33333333333	21939.5833333333	9688.62069962489
"ST3GAL5"	"ST3GAL5"	-2.37251088251409	1.27139791582072e-14	57303.75	11264.5833333333	135953.770483867
"BET1"	"BET1"	2.36739475552751	1.43859784341233e-14	186587.75	1012495.16666667	441726.860795678
"YOD1"	"YOD1"	-2.36162521093742	1.69005342859501e-14	15811.0833333333	3181.75	37339.8530122325
"CRLS1"	"CRLS1"	-2.35095145894383	2.24509067461015e-14	10466.25	2149.16666666667	24605.6457071709
"ADAM10"	"ADAM10"	2.34338573761327	2.65818686982907e-14	20607.3333333333	105839.166666667	48290.9310235758
"ETNK2"	"ETNK2"	-2.3415845539121	2.92576885496421e-14	4185.5	863.166666666667	9800.70215039909
"ERCC6"	"ERCC6"	-2.32894403721572	3.93312702164605e-14	8243.16666666667	1700.5	19197.8738561087
"NXPH3"	"NXPH3"	2.32626819044566	4.10515807066931e-14	5063.91666666667	26850.9166666667	11780.0282607343
"AGTRAP"	"AGTRAP"	-2.31341736826922	5.65543602850998e-14	190779.166666667	40990	441351.837670595
"ENG"	"ENG"	2.30839241300386	6.4059018172616e-14	24117.6666666667	124907.166666667	55673.0387526894
"STAM"	"STAM"	2.3014141905476	7.62085797850514e-14	41829.25	207940.25	96266.4295299634
"MCM8"	"MCM8"	2.28340728523824	1.22325538463635e-13	4027	21378.6666666667	9195.28113765438
"UBA6"	"UBA6"	-2.27866186270164	1.40096983745102e-13	7234.75	1585.83333333333	16485.5489111807
"ALKBH6"	"ALKBH6"	2.26917472729766	1.72655450198498e-13	18889.5	93375.3333333333	42863.5760112891
"SETD2"	"SETD2"	2.26873922342156	1.75636523187034e-13	3138.5	15326.5833333333	7120.43805270856
"POFUT1"	"POFUT1"	-2.26210349676278	2.03727949366546e-13	58015.4166666667	12032.1666666667	131236.876907816
"POLR2E"	"POLR2E"	-2.2625894498659	2.03727949366546e-13	9750.33333333333	2131.41666666667	22061.0013326758
"LAIR1"	"LAIR1"	-2.25559666189574	2.37016534819339e-13	1006980.16666667	209025.583333333	2271341.10252855
"TRIM6"	"TRIM6"	2.23909430122842	3.61127275754734e-13	15116.9166666667	75207.5	33848.2019604783
"PLEKHA2"	"PLEKHA2"	2.23345115195269	4.22072823756987e-13	2198	10287.6666666667	4909.12563199201
"STS"	"STS"	2.23151846206965	4.31292072562743e-13	28640.3333333333	138987.083333333	63911.432593162
"DHX57"	"DHX57"	-2.22759180610314	4.77681200872024e-13	22220	4898.91666666667	49497.0899316117
"SENP3"	"SENP3"	2.22653679865798	4.83430450187179e-13	13649.5833333333	64839.1666666667	30391.2995780154
"CD2AP"	"CD2AP"	2.22516669262404	4.89321652198742e-13	194739.083333333	802451.416666667	433326.92198547
"ZNF286A"	"ZNF286A"	-2.22546816190845	4.89321652198742e-13	48758.6666666667	11363.6666666667	108510.860283773
"PLEKHH3"	"PLEKHH3"	-2.22568738988956	4.89321652198742e-13	12622.3333333333	2940.58333333333	28093.3681309826
"ZNF454"	"ZNF454"	-2.21295839840171	6.62884624613178e-13	124457.916666667	27048.1666666667	275420.191935081
"APTX"	"APTX"	-2.21171869522573	6.86469083251601e-13	18637.6666666667	4186.75	41221.2758020521
"STAT4"	"STAT4"	-2.21317176567043	6.98860261729995e-13	2942.91666666667	675.083333333333	6513.18007538761
"BMPR1A"	"BMPR1A"	2.2101355086534	7.05471477446111e-13	3497.83333333333	16463.8333333333	7730.68565335149
"ZNF644"	"ZNF644"	2.20877608424718	7.16691322717684e-13	17307.5833333333	82479.1666666667	38228.5761427818
"CHST14"	"CHST14"	2.20259491018196	8.52999842070769e-13	1966.41666666667	9171.08333333333	4331.21934129698
"TMOD2"	"TMOD2"	2.19885488425449	9.08343142846643e-13	32180.4166666667	155667.416666667	70760.0663648446
"RRAS"	"RRAS"	2.19809386344336	9.1883699807163e-13	60248.5	298831.833333333	132431.858131667
"APBB3"	"APBB3"	-2.19371567585047	1.02130019465403e-12	102648.75	22765.6666666667	225182.171981456
"CTF1"	"CTF1"	2.19003238676196	1.11466459323979e-12	14812.9166666667	61572	32440.767242406
"ZNF204P"	"ZNF204P"	2.18777809487505	1.17357855472795e-12	10685.75	49382.8333333333	23378.0497773111
"SLC7A5"	"SLC7A5"	-2.18732624210521	1.17938582601085e-12	43610.5	9707.5	95390.3910813294
"FOXF2"	"FOXF2"	2.18233131524998	1.31536109015738e-12	32757.6666666667	155167.75	71488.0817811869
"CAD"	"CAD"	2.18286674648739	1.31536109015738e-12	4743.25	21716.5833333333	10353.8826952763
"MANEA"	"MANEA"	2.1823347162528	1.41782813640064e-12	618.25	2982.08333333333	1349.2284383233
"LMNB2"	"LMNB2"	-2.17456738929972	1.57773310828779e-12	393949.083333333	87944.25	856668.829661186
"CXXC1"	"CXXC1"	2.17402594472106	1.58925734440452e-12	49808.6666666667	225970.333333333	108285.333605296
"DBR1"	"DBR1"	2.17290134385688	1.62307646582599e-12	156287.583333333	696891.083333333	339597.499853144
"BBOX1"	"BBOX1"	-2.17232592126179	1.64165346443938e-12	57860.6666666667	13513.9166666667	125692.226021488
"ADD1"	"ADD1"	-2.16377749493218	2.01825455458314e-12	140869.25	32152.9166666667	304809.712877975
"GRPEL2"	"GRPEL2"	-2.15824071144711	2.31238985989584e-12	36354.25	8747.75	78461.2223841261
"DNAJC30"	"DNAJC30"	-2.15583730623476	2.43538211881355e-12	82056.9166666667	19271.0833333333	176901.362184597
"NSD1"	"NSD1"	2.15503279742184	2.48204275062775e-12	6058.75	28562.3333333333	13056.8049613796
"WBP4"	"WBP4"	-2.14658915730493	3.02575678228501e-12	189632.833333333	46880.8333333333	407063.783902347
"ZNF76"	"ZNF76"	-2.13965546016781	3.58853501792232e-12	51426.3333333333	12009.4166666667	110034.634913076
"DET1"	"DET1"	2.13733800639393	3.77221276956349e-12	18583.8333333333	86294.0833333333	39719.9332878237
"GDF11"	"GDF11"	-2.13586919882907	3.87998724813617e-12	374456.083333333	87565.4166666667	799789.214705838
"FZR1"	"FZR1"	-2.13028139290331	4.43501479637665e-12	177305.25	41935.75	377710.07493907
"EPS15"	"EPS15"	2.12754234804495	4.72011355044415e-12	32055.4166666667	151722.75	68199.2564425592
"NCAPG"	"NCAPG"	-2.12382350238837	5.16292323456997e-12	46998.9166666667	10753.8333333333	99817.403803459
"ZNF559"	"ZNF559"	2.11822385129565	5.88156606982897e-12	20502.4166666667	92306.3333333333	43428.7079925348
"LEMD2"	"LEMD2"	2.11290545826124	6.65743955127445e-12	91738.4166666667	392927.583333333	193834.601307244
"NIPAL3"	"NIPAL3"	-2.10503096923416	8.04253057865425e-12	309493.083333333	70539.75	651492.525180435
"ZBTB45"	"ZBTB45"	2.10232978752336	8.54327339215037e-12	94942.5833333333	442388.166666667	199600.621046086
"ABLIM3"	"ABLIM3"	2.09963921669245	9.11449514304821e-12	9825.5	44192.9166666667	20630.0051236116
"FBXL20"	"FBXL20"	2.09569308390609	1.03178205720331e-11	1244	5434.75	2607.04219637917
"MAPK14"	"MAPK14"	-2.08882730161772	1.17547794506985e-11	44767.75	10694.9166666667	93512.0984319965
"DAGLA"	"DAGLA"	-2.08024801070666	1.438506660696e-11	98043.9166666667	23675.4166666667	203955.662607722
"MTSS1"	"MTSS1"	-2.07840986034522	1.49609370851158e-11	86706.8333333333	21025.3333333333	180212.33735931
"CMTM7"	"CMTM7"	-2.0750154436996	1.61369844643927e-11	204863	52815.5833333333	425093.888842631
"VPS11"	"VPS11"	-2.06617568251911	1.99535002347138e-11	68006.9166666667	16669.6666666667	140514.23745977
"TAOK2"	"TAOK2"	2.06144118637864	2.24275195163711e-11	4779.83333333333	21463	9853.34529735886
"DCP1B"	"DCP1B"	2.05910813260334	2.36585745027701e-11	4001.33333333333	17176.0833333333	8239.17800792352
"DTYMK"	"DTYMK"	-2.05534921285252	2.54753398273706e-11	232959.25	56749.5	478812.611114213
"MAN1B1"	"MAN1B1"	2.05571985729628	2.56760733788868e-11	2071.83333333333	8288.91666666667	4259.10892434167
"FAM155B"	"FAM155B"	2.05436539243984	2.61168402510976e-11	3626.25	15711.5833333333	7449.64250433496
"RNF26"	"RNF26"	2.04987136265491	2.91745053034923e-11	2321.16666666667	10471.25	4758.09307794916
"MRRF"	"MRRF"	-2.04683516239894	3.07856307508469e-11	29288.8333333333	7370.33333333333	59949.4139323089
"ARHGEF38"	"ARHGEF38"	-2.04684318129046	3.08202438943827e-11	16150.6666666667	3972.75	33057.8819399617
"SYT14"	"SYT14"	-2.03654407881071	3.88250398454732e-11	1115164.83333333	292012.166666667	2271082.33822294
"ATG16L1"	"ATG16L1"	2.02265151717356	5.39915974482252e-11	63713.6666666667	275083.333333333	128870.544548024
"FGFRL1"	"FGFRL1"	2.0213323485853	5.55537503797343e-11	16098.8333333333	64861.6666666667	32541.09259115
"BIRC3"	"BIRC3"	-2.020237594694	5.70757082006018e-11	20804.6666666667	5242.66666666667	42030.3697450771
"NPDC1"	"NPDC1"	-1.99257241399877	1.09321303093864e-10	55792	14343.5	111169.600121819
"OVOL1"	"OVOL1"	-1.99189567353954	1.1038174056464e-10	62093.3333333333	16766.3333333333	123683.442022315
"RAB11A"	"RAB11A"	1.99105553931661	1.11847758901068e-10	48532.0833333333	181823.666666667	96630.0733554085
"SLC31A1"	"SLC31A1"	-1.98350857683151	1.33922980231758e-10	28642.75	7087.33333333333	56813.1402890409
"ITPK1"	"ITPK1"	-1.9785774159601	1.49536064339413e-10	26107.6666666667	7127	51656.0396500809
"ESR2"	"ESR2"	-1.97784455315676	1.51526654635819e-10	31453.1666666667	7658.5	62209.4743711984
"ENOX1"	"ENOX1"	1.97419123126774	1.6326871870742e-10	73483.1666666667	307847.5	145069.823279119
