"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"SLC39A11"	"SLC39A11"	3.02239763881894	4.46546210133089e-88	47890.8787878788	418327.363636364	144745.278969449
"HSPD1"	"HSPD1"	3.00908076196385	2.07952609198144e-87	268525.727272727	2386444.18181818	808015.600028716
"DPF2"	"DPF2"	-2.97588083772436	9.79121476047573e-86	234639.606060606	32226.1515151515	698259.50744695
"MICAL2"	"MICAL2"	2.96851020783985	2.25759016113855e-85	531994.151515151	4642648.63636364	1579230.06928383
"CNOT3"	"CNOT3"	-2.96396705381814	3.82391363852267e-85	217732.545454545	29739.3333333333	645352.091271233
"MAP2K3"	"MAP2K3"	2.9622856192522	4.65377627391369e-85	13705.2727272727	114771.818181818	40598.9323079294
"SDC2"	"SDC2"	2.93158109201061	1.54981752249944e-83	383542.848484849	3165023.18181818	1124386.96259407
"OMA1"	"OMA1"	2.92568740402066	3.02833323277131e-83	129896.515151515	1058828.27272727	380036.598204967
"KIF17"	"KIF17"	-2.91538555604498	9.79798016576955e-83	530059.121212121	75085.3333333333	1545326.70583171
"RGS6"	"RGS6"	-2.90887898066949	2.08530676702404e-82	88417.9393939394	12888.8787878788	257197.08541714
"VCPIP1"	"VCPIP1"	2.90601766830523	2.80634296473064e-82	598937.545454545	4941506.87878788	1740523.08930228
"PRF1"	"PRF1"	2.90596981853523	2.8369093588251e-82	20789.0909090909	168961.878787879	60412.4707366032
"ZNF431"	"ZNF431"	2.87971629394711	5.53653205725431e-81	347824.060606061	2787326.09090909	1001634.61475412
"PLB1"	"PLB1"	2.87399223817441	1.05393074771969e-80	166941.151515152	1340658.78787879	479787.573686444
"NDEL1"	"NDEL1"	-2.8729985094556	1.16977782530745e-80	7603444.09090909	1141722.06060606	21844683.5399108
"SORCS2"	"SORCS2"	2.86503883396342	2.88509466783378e-80	37824.8181818182	287536.787878788	108369.572978515
"LYPLA2"	"LYPLA2"	2.86426570167952	3.13709610464442e-80	26087.1818181818	206863.363636364	74720.6201352956
"MB"	"MB"	2.86136700305214	4.30988535256582e-80	40807.0303030303	319631.272727273	116763.89000164
"DSEL"	"DSEL"	2.85445586344767	9.29415075189677e-80	1041203.12121212	7981498.81818182	2972068.35438395
"LONRF3"	"LONRF3"	2.85068521849706	1.4240376212771e-79	33619.3333333333	269406.424242424	95838.1365890587
"TBL1XR1"	"TBL1XR1"	2.85047675931003	1.44938391003571e-79	31264.2727272727	253115.242424242	89118.0828058214
"SENP3"	"SENP3"	2.82815947707575	1.80474000447184e-78	13424.6060606061	103902.060606061	37966.9268563116
"ZMPSTE24"	"ZMPSTE24"	-2.8268140510814	2.05993766381673e-78	215709.060606061	33833	609769.403466782
"SCARF2"	"SCARF2"	2.81745824389249	5.83779563152939e-78	45606.2121212121	396864.636363636	128493.598313619
"RAP1B"	"RAP1B"	2.8155021997038	7.18964612587569e-78	291227.181818182	2199175.45454545	819950.771022631
"ADCY9"	"ADCY9"	-2.81141704777242	1.13451110670496e-77	350386.363636364	54360.9696969697	985082.196034258
"LIMK2"	"LIMK2"	2.80643862043326	2.00819365646135e-77	10880.2121212121	84388.9696969697	30534.6474954757
"ISYNA1"	"ISYNA1"	2.79747267221018	5.32635258359776e-77	78905.0606060606	581869.575757576	220734.750744542
"REL"	"REL"	-2.79713974052581	5.48601842388078e-77	777492.242424242	121849.545454545	2174754.44923537
"FBXO44"	"FBXO44"	2.79623059530826	6.02514845016581e-77	295731	2233151.93939394	826932.070181108
"NAGK"	"NAGK"	-2.79340914887781	8.23117101697672e-77	492267.181818182	76350.8181818182	1375103.64938321
"MYL6"	"MYL6"	2.77893172777298	4.11527869087763e-76	60455.1515151515	454448.666666667	168000.738652778
"EIF3B"	"EIF3B"	2.76809463277041	1.36974930314194e-75	37568.7878787879	293329.545454545	103993.960086963
"MAP3K1"	"MAP3K1"	2.74925688290499	1.10982067237279e-74	16711.8181818182	120482.484848485	45945.0811622204
"PER2"	"PER2"	-2.73272296566954	6.80642556542129e-74	208409.393939394	33813.9696969697	569525.137079451
"TMOD2"	"TMOD2"	2.73088637056945	8.28833499736329e-74	31004.5757575758	225927.575757576	84669.9733616517
"TFAP2E"	"TFAP2E"	2.72914619874918	1.00571411361090e-73	16815.4242424242	123374.696969697	45891.7511515669
"UBE2E2"	"UBE2E2"	2.71507282608909	4.64674492646667e-73	58040.5757575758	397916.212121212	157584.390049959
"PAAF1"	"PAAF1"	2.70782734095888	1.02826080145216e-72	31444.696969697	221684.878787879	85146.8101827124
"SIPA1L1"	"SIPA1L1"	2.70014021645829	2.35857147236196e-72	130563.757575758	903232.818181818	352540.452642214
"PCM1"	"PCM1"	2.68968322250593	7.48526353090075e-72	15188.3636363636	105352.121212121	40851.8868500464
"GALNT7"	"GALNT7"	-2.68515713564841	1.2002739305783e-71	764130.090909091	129002.727272727	2051809.36616821
"ZNF623"	"ZNF623"	-2.67720955451587	2.85077960767696e-71	287610.242424242	46305.3939393939	769992.888994806
"CBR3"	"CBR3"	2.66630262454559	9.23780953049064e-71	3073682.18181818	22064233.9393939	8195366.86840082
"SNTB2"	"SNTB2"	2.66226057228143	1.45470644068047e-70	13547.8787878788	92115.9090909091	36067.9835350176
"TSPAN17"	"TSPAN17"	-2.65942927648687	1.93699821551812e-70	284854.151515151	49376.0303030303	757549.470068221
"XYLT1"	"XYLT1"	2.65723806830613	2.43187965602293e-70	360608.515151515	2517903.27272727	958222.674215955
"THAP11"	"THAP11"	-2.65601427167886	2.76394640684273e-70	954326.060606061	166040.393939394	2534703.63680476
"ACPP"	"ACPP"	2.65527295409348	2.99648850812143e-70	35512.4545454545	237960.606060606	94295.2600880194
"ZNF610"	"ZNF610"	2.65141842955827	4.52324172008974e-70	36466.4848484848	250148.757575758	96687.9099884803
"GRWD1"	"GRWD1"	-2.65028619889607	5.06451970413157e-70	512431.696969697	88831.9090909091	1358090.65435568
"CLEC3B"	"CLEC3B"	2.64919437009455	5.65988504298419e-70	128304.484848485	846052.515151515	339903.518918487
"DEAF1"	"DEAF1"	2.64202741671238	1.23146321010754e-69	28674.4848484848	193258.333333333	75758.7751298006
"GCLC"	"GCLC"	-2.64134264060959	1.31408549278298e-69	313782.393939394	54048.9696969697	828806.816984679
"IQCB1"	"IQCB1"	-2.63837476753099	1.80990987092759e-69	172974.363636364	29730.3636363636	456371.196447911
"RNF144B"	"RNF144B"	-2.63795130262163	1.88003761043098e-69	236235.848484848	39514.6060606061	623178.664236533
"ZBTB45"	"ZBTB45"	2.63183216766154	3.60051716721125e-69	103855.454545455	699944.909090909	273330.126059839
"FOXF2"	"FOXF2"	2.62648706320269	6.39697624401243e-69	43641.0303030303	290546	114622.601515745
"OBSCN"	"OBSCN"	2.61522662977663	2.14382243254639e-68	30962.4545454545	205459.090909091	80973.8356505211
"ATN1"	"ATN1"	-2.60902310669743	4.1765289530088e-68	116358.03030303	20287.2727272727	303580.789710406
"ZNF20"	"ZNF20"	2.60202164817508	8.73221977514511e-68	42882.9393939394	284629.363636364	111582.33664041
"MRPL16"	"MRPL16"	2.59884377173504	1.21448167952532e-67	189747.878787879	1256996.63636364	493125.092987814
"SULT1C2"	"SULT1C2"	2.59533518878835	1.75725935223817e-67	449005.909090909	2950829.33333333	1165320.83583754
"TNFRSF11B"	"TNFRSF11B"	2.59443674481168	1.91332537940709e-67	1854792.06060606	12274841.4545455	4812140.67602134
"RPS29"	"RPS29"	2.59452550825173	1.91332537940709e-67	58360.2424242424	385819.818181818	151417.137637452
"ENG"	"ENG"	2.59198314991762	2.49668489452412e-67	30322.8181818182	191825.878787879	78596.2337852884
"FAM160B2"	"FAM160B2"	-2.59102696423092	2.73755009316448e-67	362053.818181818	67537.7272727273	938091.205411849
"FAM43A"	"FAM43A"	-2.58520417117377	5.06988679817748e-67	466524.393939394	84307.1212121212	1206060.80916644
"POLD3"	"POLD3"	-2.58362270522756	6.03037376192997e-67	117434.393939394	21335.5454545455	303406.166556456
"ETF1"	"ETF1"	2.57806196731327	1.07903047069522e-66	36751.6363636364	237168.606060606	94747.9959456183
"PIM1"	"PIM1"	2.56756654030671	3.25907322502534e-66	466262.696969697	3047301.24242424	1197160.49973256
"SPHK1"	"SPHK1"	-2.56480325006361	4.36153925846454e-66	500563.363636364	87307.4242424242	1283846.54191732
"HVCN1"	"HVCN1"	2.56253623516612	5.50483767280692e-66	594371.757575758	4243615.6969697	1523099.16594725
"SLC5A6"	"SLC5A6"	-2.56142419931271	6.16594406839547e-66	2043364.39393939	360683.393939394	5233923.00665031
"FOSL2"	"FOSL2"	-2.55608579196139	1.08548779634412e-65	321760.060606061	58918.2424242424	822446.319335788
"CCR1"	"CCR1"	-2.54773842383235	2.60338360149546e-65	2305100	428364.666666667	5872791.84077596
"CITED2"	"CITED2"	2.54398181128636	3.92702742737747e-65	14138.5454545455	91386.0303030303	35968.202474409
"MRPS25"	"MRPS25"	2.53201688141168	1.37151788668523e-64	19771.4545454545	126778.212121212	50061.6566791546
"AKT3"	"AKT3"	-2.5250101730636	2.82617624491484e-64	731505.393939394	140840.878787879	1847058.56134787
"ZNF559"	"ZNF559"	2.52300835891841	3.50362697536824e-64	24568.8484848485	150453.818181818	61987.4100962727
"BCOR"	"BCOR"	2.51909790542902	5.21164324699299e-64	133287.090909091	831248.606060606	335763.231529818
"LIG3"	"LIG3"	2.51265946807558	1.01854374007089e-63	274183.878787879	1696328.48484848	688930.71903005
"THAP2"	"THAP2"	-2.50473304335253	2.32724855129444e-63	980343.212121212	193640.454545455	2455498.03722636
"IQCA1"	"IQCA1"	2.50352130988416	2.65727354332585e-63	22478.1515151515	141102.636363636	56274.5313249868
"TRIT1"	"TRIT1"	2.50320491495226	2.72266015259009e-63	34896.8181818182	211847.212121212	87353.8867889226
"CDR2"	"CDR2"	2.50160758400763	3.16838966573281e-63	141256	855470.575757576	353367.080886581
"COASY"	"COASY"	2.50176205948779	3.16838966573281e-63	15631.2121212121	96896.303030303	39105.5734286541
"NUP62"	"NUP62"	2.49661635422055	5.32767177095064e-63	58176.6666666667	357344.060606061	145244.817434037
"UQCRFS1"	"UQCRFS1"	-2.48844830489028	1.24451022888908e-62	293370.181818182	56941.4545454545	730036.531650808
"ZNF562"	"ZNF562"	2.48576213376268	1.631778576307e-62	378385.757575758	2144737.3030303	940576.988136924
