"mrs_all_DEGs"	"mrs_BRAF_DEGs"	"mrs_RAS_DEGs"
"ITGA2B"	-5.56787436032959	-4.97313275249108	-1.24453985874047
"GDE1"	6.0080067425353	4.48593904122266	3.09748910877913
"REX1BD"	2.24370144224184	2.14368602182736	1.43670960478099
"CRLF1"	3.62751526449932	3.30366180216599	0.788527373662956
"OSBPL7"	4.80523134065247	4.01518721871495	0.562986783015965
"TMEM98"	7.1291257535776	7.36626659566059	1.96861149291672
"YBX2"	-0.686291152541161	-2.93712133555114	0.675998818404517
"MAP3K14"	-0.984368232374659	-0.423066277152574	-1.48924590386546
"ABCC8"	-1.34800281429728	-4.28394158310589	1.70278450882714
"TMEM132A"	5.66978912255945	4.2977857430595	3.95955325112904
"AP2B1"	0.652894169760869	0.735853268219877	0.129044990435953
"ZNF263"	-1.67143357276648	-1.46909502620424	-0.0806019889295454
"CX3CL1"	7.51127592430122	6.5758827179802	2.59566926603709
"SPATA20"	-0.515984056518829	-3.01605932648246	2.01519870794462
"TNFRSF12A"	6.20339860811033	6.12448767456677	1.29744202514366
"MAP3K9"	-2.69883554564256	-4.14320032353718	0.718883621572549
"RALA"	2.9530590598553	2.66549281821901	0.0555467915792684
"BAIAP2L1"	-0.111340847742993	-1.98802637710718	0.740358202454787
"KDM7A"	0.0883796029443427	0.287325198347242	0.039810904016269
"ETV1"	5.788850887504	7.15341054965094	1.86508933326598
"AGK"	3.44436771663797	2.74294296788425	1.7879379378399
"ALDH3B1"	8.43584585042328	9.37059941152323	1.22680876309955
"TTC22"	4.34848119331037	4.15477533947935	0.588381641997928
"PHTF2"	-0.558407073430475	-1.18999804518974	0.703739880814128
"FARP2"	-7.57666457671345	-6.70885897829833	-2.5033417316791
"GGCT"	7.85279913918994	7.6025872595277	4.11145327429172
"DBF4"	0.289897221773086	0.631561333280064	0.336033520059399
"TBXA2R"	3.19991033160193	2.20702521783892	2.56347952347613
"IFRD1"	1.61510297935585	-0.216210838827081	2.88339728871837
"COX10"	-6.51077460636074	-8.27709436382935	-0.558757879143383
"GTF2IRD1"	7.97339225556519	7.28319993822317	1.98584229712056
"PAF1"	1.04149400188034	0.964788727179148	0.977176067725199
"ARHGAP44"	1.00225461774746	2.03303884592528	-1.92058622301063
"ELAC2"	3.01825067913102	1.73567475351866	2.46002093904752
"SCIN"	0.660180652617267	-0.454943990966027	1.27369860514557
"ARSD"	2.15310105429147	1.68352375534726	0.701775330571565
"PNPLA4"	-5.21814755523382	-6.45756220522207	-0.415647394701402
"ADIPOR2"	-5.65318954008721	-10.2131418179654	0.960450302692946
"CDKL3"	-2.55512023587518	-2.89014095624558	-1.00499463871069
"UPP2"	5.21595781602257	5.42797705503191	0.758689498983004
"MARK4"	5.35034998810716	4.61990633349991	1.99541563965258
"CCDC124"	2.28781202907404	1.89881313040564	0.865666951999322
"PAFAH1B1"	-5.09112677578949	-6.36496707370282	0.0654925149935232
"DNAH9"	-4.8982706290031	-4.25259887347321	-0.729843138603178
"KIAA0100"	0.245104570766476	-1.01342080496752	1.32583965243365
"GAS7"	1.56336569087812	0.225992607003668	1.1722353063891
"TRAPPC6A"	-3.71898259532018	-4.08795271761321	0.0592832795849102
"MATK"	0.642295750629047	1.98316766206402	-0.826682223449668
"CD79B"	-1.01710335316312	-1.02152597476349	-0.394507508275759
"SCN4A"	2.59140643790075	1.17974715288184	2.29200605350451
"ST7L"	-3.80664346565958	-3.74067865225569	-0.339269623255644
"PAX6"	-9.76441564858956	-8.93325470413282	-4.2047701239125
