"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"OCM"	"OCM"	5.1512203847987	9.20051870894089e-26	13648.5517241379	499730.172413793	70306.6978643587
"QRSL1"	"QRSL1"	5.1212008213704	1.54703080177141e-25	2369.03448275862	76599.1206896552	12132.3013389583
"SCML2"	"SCML2"	5.10054399799101	2.20387241884705e-25	1753.12068965517	62862.9482758621	8941.86921137455
"KRT13"	"KRT13"	5.07808371226346	3.24065594243099e-25	2355.58620689655	81308.4482758621	11961.8639500738
"MRPS5"	"MRPS5"	5.0757894513653	3.33538725571082e-25	20993.5	721013.931034483	106558.585847237
"TELO2"	"TELO2"	5.06761523262408	3.80448704737895e-25	749.362068965517	25783.4827586207	3797.47863544035
"GSTCD"	"GSTCD"	5.05177938267695	4.97533992549739e-25	883.862068965517	29342.5862068966	4465.07617713019
"ELP4"	"ELP4"	5.03255338114855	6.90710964323205e-25	1243.94827586207	41507.3965517241	6260.23610166356
"ZNF516"	"ZNF516"	5.02883597617252	7.19867375631662e-25	39.3965517241379	1472.39655172414	198.118796647486
"TSPAN12"	"TSPAN12"	5.01873080730182	8.61843962408337e-25	3158.6724137931	97536.275862069	15852.5265532778
"CCNL1"	"CCNL1"	4.99160522262842	1.37553504758175e-24	505.534482758621	18994.5344827586	2523.42856435669
"TRIP4"	"TRIP4"	4.89161538652924	7.38413131844533e-24	21.5862068965517	629.413793103448	105.591421791976
"TMED8"	"TMED8"	-4.87330671985412	1.07943941314424e-23	4234.6724137931	153.034482758621	20636.8575305188
"SPAG5"	"SPAG5"	-4.865152422775	1.23279267456192e-23	63513.2068965517	2459.91379310345	309001.432410969
"IFFO2"	"IFFO2"	4.84007356085999	1.89303119781268e-23	889.879310344828	25940.0172413793	4307.08132235632
"TTTY10"	"TTTY10"	4.8115016023239	3.08666798403195e-23	604.034482758621	17419.4827586207	2906.31288165199
"PIP5K1B"	"PIP5K1B"	4.79951901386162	3.77354228724413e-23	4100.75862068965	128587.931034483	19681.668971257
"CDK5R2"	"CDK5R2"	4.79345355687157	4.15191640160455e-23	3256.77586206897	92755.5689655172	15611.2038399679
"CAD"	"CAD"	4.75515576157145	8.02341622493483e-23	1149.24137931034	33638.3793103448	5464.82176626391
"EXOSC3"	"EXOSC3"	4.68671959058259	2.61204566230081e-22	221.431034482759	5802.70689655172	1037.78516727331
"GOLGA8G"	"GOLGA8G"	4.68077300144714	2.86940050964765e-22	733.137931034483	17475.9310344828	3431.65223392302
"ATP7A"	"ATP7A"	4.65813453490353	4.21995716720377e-22	114963.086206897	2734442.39655172	535513.522099436
"PROCA1"	"PROCA1"	4.64686061744854	5.07996945135656e-22	4434.3275862069	102818.482758621	20605.7022252105
"TNFRSF1B"	"TNFRSF1B"	4.63100784356438	6.62462412278092e-22	6835.68965517241	170624.465517241	31656.1324092753
"CGB5"	"CGB5"	4.62989886608243	6.6862939499472e-22	8801.27586206897	226833.465517241	40749.0171338718
"ZNF226"	"ZNF226"	4.62882195531219	6.74570695205845e-22	16825.3620689655	395781.74137931	77881.6053509045
"TM4SF20"	"TM4SF20"	4.61074446435111	9.06876221608091e-22	144.051724137931	3838.27586206897	664.185689649198
"ETV6"	"ETV6"	-4.59404190029188	1.20371814981626e-21	14189.1379310345	674.637931034483	65185.4941841932
"RBP2"	"RBP2"	-4.59363903182801	1.20371814981626e-21	5121.89655172414	214.620689655172	23528.1439169853
"BLOC1S3"	"BLOC1S3"	4.58999676733282	1.27251920918384e-21	39.1034482758621	955.465517241379	179.484701177773
"MMGT1"	"MMGT1"	4.5738600561566	1.66699831180782e-21	70387.2413793103	1620059.36206897	321941.391807881
"HERC1"	"HERC1"	4.56087429421937	2.06525492315241e-21	397.931034482759	9012.46551724138	1814.91342604453
"MRPL22"	"MRPL22"	4.55188199470536	2.3907494761946e-21	1548.65517241379	33057.3103448276	7049.29559531767
"RFK"	"RFK"	-4.54352297087819	2.7364147479042e-21	1545.91379310345	49.5344827586207	7023.89482996295
